,quadratAllTime,quadratIndYear,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
287,,THM4-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
288,,THM4-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
289,,THM4-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
290,,THM4-6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
291,,THM4-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
292,,THM4-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
293,,THM4-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
294,,THM5-01,,,,,,,,,,,,,,,1,1,1,1
295,,THM5-02,,,,,,,,,,,,,,,1,1,1,1
296,,THM5-03,,,,,,,,,,,,,,,1,1,1,1
297,,THM5-04,,,,,,,,,,,,,,,1,1,1,1
298,,THM5-05,,,,,,,,,,,,,,,1,1,1,1
299,,THM5-06,,,,,,,,,,,,,,,1,1,1,1
300,,THM5-07,,,,,,,,,,,,,,,1,1,1,1
301,,THM5-08,,,,,,,,,,,,,,,1,1,1,1
302,,THM5-09,,,,,,,,,,,,,,,1,1,1,1
303,,THM5-1,,,,,,,,,,,,,,1,,,,
304,,THM5-10,,,,,,,,,,,,,,1,1,1,1,1
305,,THM5-2,,,,,,,,,,,,,,1,,,,
306,,THM5-3,,,,,,,,,,,,,,1,,,,
307,,THM5-4,,,,,,,,,,,,,,1,,,,
308,,THM5-5,,,,,,,,,,,,,,1,,,,
309,,THM5-6,,,,,,,,,,,,,,1,,,,
310,,THM5-7,,,,,,,,,,,,,,1,,,,
311,,THM5-8,,,,,,,,,,,,,,1,,,,
312,,THM5-9,,,,,,,,,,,,,,1,,,,
313,,THM6-01,,,,,,,,,,,,,,,1,1,1,1
314,,THM6-02,,,,,,,,,,,,,,,1,1,1,1
315,,THM6-03,,,,,,,,,,,,,,,1,1,1,1
316,,THM6-04,,,,,,,,,,,,,,,1,1,1,1
317,,THM6-05,,,,,,,,,,,,,,,1,1,1,1
318,,THM6-06,,,,,,,,,,,,,,,1,1,1,1
319,,THM6-07,,,,,,,,,,,,,,,1,1,1,1
320,,THM6-08,,,,,,,,,,,,,,,1,1,1,1
321,,THM6-09,,,,,,,,,,,,,,,1,1,1,1
322,,THM6-1,,,,,,,,,,,,,,1,,,,
323,,THM6-10,,,,,,,,,,,,,,1,1,1,1,1
324,,THM6-2,,,,,,,,,,,,,,1,,,,
325,,THM6-3,,,,,,,,,,,,,,1,,,,
326,,THM6-4,,,,,,,,,,,,,,1,,,,
327,,THM6-5,,,,,,,,,,,,,,1,,,,
328,,THM6-6,,,,,,,,,,,,,,1,,,,
329,,THM6-7,,,,,,,,,,,,,,1,,,,
330,,THM6-8,,,,,,,,,,,,,,1,,,,
331,,THM6-9,,,,,,,,,,,,,,1,,,,
332,,THSBM1-1,,,,,1,,,,,,,,,,,,,
333,,THSBM1-10,,,,,1,,,,,,,,,,,,,
334,,THSBM1-2,,,,,1,,,,,,,,,,,,,
335,,THSBM1-3,,,,,1,,,,,,,,,,,,,
336,,THSBM1-4,,,,,1,,,,,,,,,,,,,
337,,THSBM1-5,,,,,1,,,,,,,,,,,,,
338,,THSBM1-6,,,,,1,,,,,,,,,,,,,
339,,THSBM1-7,,,,,1,,,,,,,,,,,,,
340,,THSBM1-8,,,,,1,,,,,,,,,,,,,
341,,THSBM1-9,,,,,1,,,,,,,,,,,,,
342,,THSBM2-1,,,,,1,,,,,,,,,,,,,
343,,THSBM2-10,,,,,1,,,,,,,,,,,,,
344,,THSBM2-2,,,,,1,,,,,,,,,,,,,
345,,THSBM2-3,,,,,1,,,,,,,,,,,,,
346,,THSBM2-4,,,,,1,,,,,,,,,,,,,
347,,THSBM2-5,,,,,1,,,,,,,,,,,,,
348,,THSBM2-6,,,,,1,,,,,,,,,,,,,
349,,THSBM2-7,,,,,1,,,,,,,,,,,,,
350,,THSBM2-8,,,,,1,,,,,,,,,,,,,
351,,THSBM2-9,,,,,1,,,,,,,,,,,,,
352,,THSWALE2-1,,,,,,1,1,,,,,,,,,,,
353,,THSWALE2-10,,,,,,1,1,,,,,,,,,,,
354,,THSWALE2-2,,,,,,1,1,,,,,,,,,,,
355,,THSWALE2-3,,,,,,1,1,,,,,,,,,,,
356,,THSWALE2-4,,,,,,1,1,,,,,,,,,,,
357,,THSWALE2-5,,,,,,1,1,,,,,,,,,,,
358,,THSWALE2-6,,,,,,1,1,,,,,,,,,,,
359,,THSWALE2-7,,,,,,1,1,,,,,,,,,,,
360,,THSWALE2-8,,,,,,1,1,,,,,,,,,,,
361,,THSWALE2-9,,,,,,1,1,,,,,,,,,,,
362,,THUB1-1,,,1,1,,,,,,,,,,,,,,
363,,THUB1-10,,,1,1,,,,,,,,,,,,,,
364,,THUB1-2,,,1,1,,,,,,,,,,,,,,
365,,THUB1-3,,,1,1,,,,,,,,,,,,,,
366,,THUB1-4,,,1,1,,,,,,,,,,,,,,
367,,THUB1-5,,,1,1,,,,,,,,,,,,,,
368,,THUB1-6,,,1,1,,,,,,,,,,,,,,
369,,THUB1-7,,,1,1,,,,,,,,,,,,,,
370,,THUB1-8,,,1,1,,,,,,,,,,,,,,
371,,THUB1-9,,,1,1,,,,,,,,,,,,,,
372,,THUB2-1,,,1,1,,,,,,,,,,,,,,
373,,THUB2-10,,,1,1,,,,,,,,,,,,,,
374,,THUB2-2,,,1,1,,,,,,,,,,,,,,
375,,THUB2-3,,,1,1,,,,,,,,,,,,,,
376,,THUB2-4,,,1,1,,,,,,,,,,,,,,
377,,THUB2-5,,,1,1,,,,,,,,,,,,,,
378,,THUB2-6,,,1,1,,,,,,,,,,,,,,
379,,THUB2-7,,,1,1,,,,,,,,,,,,,,
380,,THUB2-8,,,1,1,,,,,,,,,,,,,,
381,,THUB2-9,,,1,1,,,,,,,,,,,,,,
382,,THUBFM1-1,,,,,1,,,,,,,,,,,,,
383,,THUBFM1-10,,,,,1,,,,,,,,,,,,,
384,,THUBFM1-2,,,,,1,,,,,,,,,,,,,
385,,THUBFM1-3,,,,,1,,,,,,,,,,,,,
386,,THUBFM1-4,,,,,1,,,,,,,,,,,,,
387,,THUBFM1-5,,,,,1,,,,,,,,,,,,,
388,,THUBFM1-6,,,,,1,,,,,,,,,,,,,
389,,THUBFM1-7,,,,,1,,,,,,,,,,,,,
390,,THUBFM1-8,,,,,1,,,,,,,,,,,,,
391,,THUBFM1-9,,,,,1,,,,,,,,,,,,,
392,,THUBM2-1,,,,,1,,,,,,,,,,,,,
393,,THUBM2-10,,,,,1,,,,,,,,,,,,,
394,,THUBM2-2,,,,,1,,,,,,,,,,,,,
395,,THUBM2-3,,,,,1,,,,,,,,,,,,,
396,,THUBM2-4,,,,,1,,,,,,,,,,,,,
397,,THUBM2-5,,,,,1,,,,,,,,,,,,,
398,,THUBM2-6,,,,,1,,,,,,,,,,,,,
399,,THUBM2-7,,,,,1,,,,,,,,,,,,,
400,,THUBM2-8,,,,,1,,,,,,,,,,,,,
401,,THUBM2-9,,,,,1,,,,,,,,,,,,,
402,,THUBUGM1-1,,,,,,1,1,1,1,1,1,1,1,,,,,
403,,THUBUGM1-10,,,,,,1,1,1,1,1,1,1,1,,,,,
404,,THUBUGM1-2,,,,,,1,1,1,1,1,1,1,1,,,,,
405,,THUBUGM1-3,,,,,,1,1,1,1,1,1,1,1,,,,,
406,,THUBUGM1-4,,,,,,1,1,1,1,1,1,1,1,,,,,
407,,THUBUGM1-5,,,,,,1,1,1,1,1,1,1,1,,,,,
408,,THUBUGM1-6,,,,,,1,1,1,1,1,1,1,1,,,,,
409,,THUBUGM1-7,,,,,,1,1,1,1,1,1,1,1,,,,,
410,,THUBUGM1-8,,,,,,1,1,1,1,1,1,1,1,,,,,
411,,THUBUGM1-9,,,,,,1,1,1,1,1,1,1,1,,,,,
412,,THUBUGM2-01,,,,,,,,,,,,,,,1,1,1,1
413,,THUBUGM2-02,,,,,,,,,,,,,,,1,1,1,1
414,,THUBUGM2-03,,,,,,,,,,,,,,,1,1,1,1
415,,THUBUGM2-04,,,,,,,,,,,,,,,1,1,1,1
